boat;sail;model;maxSequence;country
2.4mR;2.4mR - Foque;JDF1-05;;ARG
2.4mR;2.4mR - Mayor;MF15;;ARG
29ER;29ER - HK 8477 - Funda Cubierta;HK8477-FCUB-01;01;ARG
420;*420 - Foque J12;J12/B-62;63;ARG
420;*420 - Foque J12;;;BRA
420;*420 - Foque J13;J13-08;10;ARG
420;*420 - Mayor M11;M11-07;07;ARG
420;*420 - Mayor M7;M7-08;08;ARG
420;*420 - Mayor M9;M9-50;50;ARG
420;*420 - Spi S1;;;ARG
420;*420 - Spi S5;S05-CEL/R:018960;;ARG
420;420 - HK 8041 - Funda Cubierta S;;;ARG
420;420 - HK 8043 - Funda Timon;HK8043-FTIM-01;01;ARG
470;JIB S5 B4;JIB S5 B4;;BRA
BOLSAS;CAJON #4 (LOTE 2 UN.);ZSSL #4 x2;;ARG
BOLSAS;CAJON #5 (LOTE 2 UN.);ZSML-5 x 6 UNIDADES;;ARG
BOLSAS;CAJON #6 (LOTE 2 UN.);ZSML #5 X2;;ARG
BOLSAS;CAJON #7 (LOTE 2 UN.);ZSXLL #7 x2;;ARG
BOLSAS;TORTUGA #10 (LOTE 6 UN.);ZZJ10L x 6 UNIDADES;;ARG
BOLSAS;TORTUGA #12 (LOTE 6 UN.);ZZJ12L X 12;;ARG
BOLSAS;TORTUGA #14 (LOTE 6 UN.);ZZJ14L X 6;;ARG
CADET;*CADET - Foque J1-S;J1S-37;37;ARG
CADET;*CADET - Mayor I-3;MI3-21;21;ARG
CADET;*CADET - Spi CS-3;CS3-29;29;ARG
CADET;CADET - Foque J1-V3;;;ARG
CADET;CADET - Foque J1-V3 Plus;-27 J CADET DISC.;;ARG
CADET;CADET - Mayor M-1;MIV5-37;37;ARG
CORUM 27;CORUM 27 - Asy A2 clase 2014 V1;ASY A2.V1-12;;ARG
CORUM 27;CORUM 27 - Asy A2 Runner;;;ARG
CORUM 27;CORUM 27 - Genoa G-12;G12-05;05;ARG
CORUM 27;CORUM 27 - My M12;;;ARG
CORUM 27;CORUM 27 - SPI S2;;;ARG
CORUM 27;CORUM 27 -Foque J1;;;ARG
DINGUE;M0;;;ARG
DINGUE;M1;;;BRA
DINGUE;Mestra Club X- Cut (M1);;;ARG
DINGUE;Mestra Easy X-cut;;;ARG
DINGUE;Mestra Race Radial V5;;;BRA
F-18;F-18 - Asy AV2;NS SL;;ARG
F-18;F-18 - Foque JV9;FQ SHOCKWAVE LJ6;;ARG
F-18;F-18 - Mayor MHC1;MY DISEÃ‘O A DEF;;ARG
FINN;FINN - Mayor C2.1K;;;ARG
FINN;FINN - Mayor MB1;MB1K;;ARG
FINN;FINN - Mayor MB1H;;;ARG
FINN;FINN - Mayor MB2;;;ARG
GRUMETE;* GRUMETE NUEVO MOD - MY M12;M12-18 P/MAD;;ARG
GRUMETE;*GRUMETE - Genoa G12;G12-28;28;ARG
GRUMETE;*GRUMETE - Spi S-12;S12-10;10;ARG
GRUMETE;GRUMETE - Foque J1;J1-04 V1-2017;2017;ARG
GRUMETE;GRUMETE - Mayor M12;M12-20 M-ALUM;;ARG
HARBOR 20;HARBOR 20 - Foque J1 Kevlar AP;JCD1-02;02;ARG
HARBOR 20;HARBOR 20 - Mayor MK-1 Kevlar AP;;;ARG
HOLDER;HPE25 - MESTRA;;;ARG
HPE 25;A2;;;BRA
HPE 25;HPE25 - FOQUE JK5;;;BRA
HPE 25;HPE25 - FOQUE JK6;Foque;;BRA
HPE 25;HPE25 - MESTRA MK5;;;BRA
HPE 25;HPE25 - MESTRA MK6;;;BRA
J-24 ESPECIALES;*J-24 - Foque J1 ES;J1ES-57;04;ARG
J-24 ESPECIALES;*J-24 - Foque J1-ES+;J1ES+ -1;1;ARG
J-24 ESPECIALES;J-24 -  SPI Panam;SPAN V2-03;03;ARG
J-24 ESPECIALES;J-24 - Foque J1Panam;JPAN-21;21;ARG
J-24 ESPECIALES;J-24 - Mayor AP-1ES;;;ARG
